system,pol,angle_a,angle_b,separation_deg,analysis_kind,pair_matches_available_measured_angles,delta_d_nm,kappa_d_dn,corr_d_dispersion
SiC_MDF,avg,10.0,15.0,5.0,simulated_virtual,yes,0.0,1.240e+02,0.4378
SiC_MDF,avg,10.0,20.0,10.0,simulated_virtual,no,0.0,1.250e+02,0.4378
SiC_MDF,avg,10.0,30.0,20.0,simulated_virtual,no,0.01,1.283e+02,0.4395
SiC_MDF,avg,10.0,40.0,30.0,simulated_virtual,no,0.02,1.313e+02,0.447
SiC_MDF,s,10.0,15.0,5.0,simulated_virtual,yes,0.0,1.239e+02,0.4383
SiC_MDF,s,10.0,20.0,10.0,simulated_virtual,no,0.0,1.248e+02,0.4385
SiC_MDF,s,10.0,30.0,20.0,simulated_virtual,no,0.02,1.284e+02,0.4411
SiC_MDF,s,10.0,40.0,30.0,simulated_virtual,no,0.04,1.320e+02,0.4509
SiC_MDF,p,10.0,15.0,5.0,simulated_virtual,yes,0.0,1.241e+02,0.4373
SiC_MDF,p,10.0,20.0,10.0,simulated_virtual,no,0.01,1.251e+02,0.4371
SiC_MDF,p,10.0,30.0,20.0,simulated_virtual,no,0.0,1.282e+02,0.4379
SiC_MDF,p,10.0,40.0,30.0,simulated_virtual,no,0.01,1.303e+02,0.4428
strong_contrast,avg,10.0,15.0,5.0,simulated_virtual,no,23.85,5.852e+03,0.9994
strong_contrast,avg,10.0,20.0,10.0,simulated_virtual,no,74.23,5.836e+03,0.9994
strong_contrast,avg,10.0,30.0,20.0,simulated_virtual,no,139.9,5.470e+03,0.9994
strong_contrast,avg,10.0,40.0,30.0,simulated_virtual,no,239.96,4.713e+03,0.9993
strong_contrast,s,10.0,15.0,5.0,simulated_virtual,no,35.35,6.039e+03,0.9995
strong_contrast,s,10.0,20.0,10.0,simulated_virtual,no,105.31,6.126e+03,0.9995
strong_contrast,s,10.0,30.0,20.0,simulated_virtual,no,229.3,5.991e+03,0.9995
strong_contrast,s,10.0,40.0,30.0,simulated_virtual,no,174.16,5.413e+03,0.9994
strong_contrast,p,10.0,15.0,5.0,simulated_virtual,no,11.85,5.669e+03,0.9994
strong_contrast,p,10.0,20.0,10.0,simulated_virtual,no,41.17,5.556e+03,0.9994
strong_contrast,p,10.0,30.0,20.0,simulated_virtual,no,38.5,4.985e+03,0.9993
strong_contrast,p,10.0,40.0,30.0,simulated_virtual,no,323.97,4.103e+03,0.9992
