n_inf,n_sub,d_true_um,abs_x,angle_deg,pol,resolution_cm,snr,F_line,Re_eff,median_absq,p95_absq,max_absq,F_cav_from_median_absq,d_fit_um,rel_bias,d_fit_nz_um,rel_bias_nz,dn_nz,mse
1.8,1.4,4.0,0.5,10.0,avg,0.0,,2.2485367030479364,0.2717111779573589,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000328333167158,8.208329178960305e-05,4.001563577023616,0.0003908942559041062,-0.0005602121160854577,1.7549489207839465e-06
1.8,1.4,4.0,0.5,10.0,avg,0.0,200.0,2.253205715390666,0.2723570404045983,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000358600527313,8.965013182815618e-05,4.000771442419302,0.00019286060482559542,-0.00020065441477480031,1.9527624708663764e-06
1.8,1.4,4.0,0.5,10.0,avg,0.0,50.0,2.279449731106483,0.27597416180867246,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000513414186133,0.00012835354653328857,4.006836141547519,0.0017090353868798314,-0.0027869401396794806,4.784390931141483e-06
1.8,1.4,4.0,0.5,10.0,avg,1.0,,2.2485367030479364,0.2717111779573589,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000328333166361,8.2083291590207e-05,4.001563577844174,0.0003908944610435672,-0.0005602124748068394,1.7549489207839471e-06
1.8,1.4,4.0,0.5,10.0,avg,1.0,200.0,2.2519970112921652,0.27218990874891674,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000388174618886,9.704365472140708e-05,4.000875938099054,0.00021898452476354358,-0.00023416984315467938,1.946890424173719e-06
1.8,1.4,4.0,0.5,10.0,avg,1.0,50.0,2.311242977913884,0.2803258947537653,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000502302838152,0.0001255757095379728,4.013058215975279,0.003264553993819641,-0.005496291318260652,4.887599160822496e-06
1.8,1.4,4.0,0.5,10.0,avg,2.0,,2.1763517865597315,0.26163669600890316,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000409146544767,0.0001022866361917174,4.001580108276041,0.0003950270690102897,-0.0005313213519233967,1.9021018546304224e-06
1.8,1.4,4.0,0.5,10.0,avg,2.0,200.0,2.1804928512467354,0.26221912899828803,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.0002945922604765,7.364806511911404e-05,3.9999912182634314,2.1954341421492884e-06,0.00011263706560706637,2.0641209830654475e-06
1.8,1.4,4.0,0.5,10.0,avg,2.0,50.0,2.2153568118813936,0.26710113117818246,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000206521417182,5.163035429545104e-05,4.0091799746582,0.0022949936645499935,-0.003942419053768757,5.063074583490667e-06
1.8,1.4,4.0,0.5,10.0,avg,4.0,,2.108276140542863,0.2519854045345728,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000566925146285,0.000141731286571245,4.00162049749491,0.00040512437372752785,-0.00047854903623908334,2.679235218756732e-06
1.8,1.4,4.0,0.5,10.0,avg,4.0,200.0,2.1255592934594256,0.2544492329371013,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000662736236934,0.00016568405923345075,4.001877649781405,0.00046941244535125826,-0.0005499935083620599,2.8311778081112977e-06
1.8,1.4,4.0,0.5,10.0,avg,4.0,50.0,2.109617167766934,0.25217690259205705,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.00060927211291,0.00015231802822746054,4.001655008830147,0.0004137522075366995,-0.00047307954838104815,5.354287038570715e-06
1.8,1.4,4.0,0.5,10.0,avg,8.0,,2.093577740736679,0.249882911516571,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.0008317130279885,0.00020792825699711415,4.001732126021186,0.0004330315052964995,-0.00040959670977203983,3.882102485243373e-06
1.8,1.4,4.0,0.5,10.0,avg,8.0,200.0,2.0855859921510693,0.248737022543413,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000793351465063,0.0001983378662657742,4.002267886433456,0.000566971608364053,-0.0006609530318398722,4.105450634956526e-06
1.8,1.4,4.0,0.5,10.0,avg,8.0,50.0,2.1498658010594425,0.25789876615967383,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000734482272115,0.00018362056802878612,4.00174230633938,0.0004355765848449433,-0.000457337567649005,6.917601874950644e-06
1.8,1.4,4.0,0.5,10.0,s,0.0,,2.2463705717961604,0.2714112979070591,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000337411550558,8.43528876395272e-05,4.001571332584102,0.00039283314602545083,-0.0005600659654971477,1.9540280870490887e-06
1.8,1.4,4.0,0.5,10.0,s,0.0,200.0,2.241935476618433,0.2707968275381499,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000339160416563,8.479010414075283e-05,4.002249037487527,0.0005622593718817015,-0.000856048926222982,2.150352737267124e-06
1.8,1.4,4.0,0.5,10.0,s,0.0,50.0,2.3247856984568074,0.2821694457827642,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.00018052907691,4.513226922742142e-05,3.998354304575642,0.00041142385608949894,0.0007863037168228523,4.872214042731565e-06
1.8,1.4,4.0,0.5,10.0,s,1.0,,2.2463705717961604,0.2714112979070591,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000337411551199,8.43528877998434e-05,4.001571331871985,0.00039283296799630385,-0.0005600656530317987,1.9540280870490997e-06
1.8,1.4,4.0,0.5,10.0,s,1.0,200.0,2.255147391903388,0.27262542335013584,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000352862657576,8.821566439398687e-05,4.00090711209664,0.0002267780241600459,-0.0002633525893959157,2.1537684254616086e-06
1.8,1.4,4.0,0.5,10.0,s,1.0,50.0,2.3003838141275117,0.27884327560732053,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000476315263073,0.00011907881576833645,4.0017359592610715,0.0004339898152678767,-0.0005728240036566973,4.999459934023741e-06
1.8,1.4,4.0,0.5,10.0,s,2.0,,2.1738483224594867,0.26128432651880995,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000418620320909,0.00010465508022727832,4.001592884694843,0.0003982211737107999,-0.0005331926836323303,2.1102161414000326e-06
1.8,1.4,4.0,0.5,10.0,s,2.0,200.0,2.1748285391202327,0.26142231821504824,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.0004544785028875,0.00011361962572187245,4.002317063865376,0.0005792659663439448,-0.0008330716338354796,2.3020143705798796e-06
1.8,1.4,4.0,0.5,10.0,s,2.0,50.0,2.1886766346852355,0.2633685707913196,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000542979409651,0.00013574485241285572,4.00791406463891,0.001978516159727439,-0.0032362473252207508,5.56246577126388e-06
1.8,1.4,4.0,0.5,10.0,s,4.0,,2.1059374460037175,0.2516513094607343,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.0005771708703035,0.00014429271757587792,4.001642762079831,0.00041069051995767936,-0.0004842217658361318,2.937174461205364e-06
1.8,1.4,4.0,0.5,10.0,s,4.0,200.0,2.1212208093108695,0.253831610736684,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000548891193067,0.0001372227982667784,4.001787876059528,0.0004469690148820593,-0.0005604208257624032,3.125972342711903e-06
1.8,1.4,4.0,0.5,10.0,s,4.0,50.0,2.1486165934559533,0.2577219265552671,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000646365454469,0.0001615913636172639,3.996938483525043,0.0007653791187391956,0.0016138715714417013,6.125393908440287e-06
1.8,1.4,4.0,0.5,10.0,s,8.0,,2.0911848546989185,0.2495400109358261,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.000843253302858,0.00021081332571459832,4.001768589852246,0.0004421474630615929,-0.00042089513657392227,4.2172741830581805e-06
1.8,1.4,4.0,0.5,10.0,s,8.0,200.0,2.087516196214843,0.24901395835477466,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.00080447927404,0.00020111981850989835,4.001599098119328,0.0003997745298320865,-0.00036452527524530207,4.4903855364993465e-06
1.8,1.4,4.0,0.5,10.0,s,8.0,50.0,2.281144122833159,0.27620692093027566,0.032807962542156385,0.03496859558964617,0.03508940055655475,0.5883378518137337,4.0006080546584295,0.00015201366460737553,4.002243217968925,0.0005608044922311706,-0.0007298235435199867,7.3068188309362314e-06
1.8,1.4,4.0,0.5,10.0,p,0.0,,2.250828114155654,0.2720282362372501,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000318758577878,7.968964446947169e-05,4.001553319435806,0.0003883298589515416,-0.0005594568943810302,1.5665916724636896e-06
